iter	MultiClass
0	1.280553229
1	1.187401993
2	1.117325572
3	1.054813939
4	0.991259974
5	0.9275809405
6	0.8857195875
7	0.8445541756
8	0.8021059002
9	0.770011126
10	0.7351654657
11	0.7073044395
12	0.6832190325
13	0.6572874867
14	0.6262937833
15	0.6074439059
16	0.5923987169
17	0.5749901701
18	0.5562298849
19	0.5408829973
20	0.5257039579
21	0.5093410414
22	0.4965388532
23	0.478225894
24	0.4668780094
25	0.4582581302
26	0.4477955975
27	0.4388336534
28	0.429087797
29	0.4247744014
30	0.416573208
31	0.408448152
32	0.4009062161
33	0.3937217331
34	0.3849294516
35	0.3752320189
36	0.3680591713
37	0.3585431071
38	0.3549491739
39	0.3490440206
40	0.3432812604
41	0.3376902081
42	0.3320992331
43	0.3287100032
44	0.3242825762
45	0.3193181258
46	0.3122849427
47	0.3094566034
48	0.3045989484
49	0.3002013924
50	0.2955594817
51	0.290431027
52	0.2887137311
53	0.2864994628
54	0.2842827234
55	0.2823558683
56	0.2782520905
57	0.2732917052
58	0.2707835747
59	0.2674004565
60	0.2655062663
61	0.2635667748
62	0.2611191652
63	0.2585313659
64	0.2559390946
65	0.2541513664
66	0.2522879806
67	0.250744901
68	0.2486601558
69	0.2452507188
70	0.2435992366
71	0.2407210154
72	0.2395543722
73	0.2375787077
74	0.2357669988
75	0.2335115738
76	0.2310310228
77	0.2287604392
78	0.2263626646
79	0.2243439867
80	0.2227406131
81	0.2214417351
82	0.2203035862
83	0.2179079147
84	0.2164683615
85	0.2143187805
86	0.2136781825
87	0.2130394607
88	0.212102811
89	0.2112812572
90	0.2098585301
91	0.2068346812
92	0.2055341896
93	0.2034064506
94	0.2022882144
95	0.2000195219
96	0.1982520871
97	0.1958131311
98	0.1942972585
99	0.193511936
100	0.1911676495
101	0.189025757
102	0.1877033067
103	0.1867555357
104	0.1853984444
105	0.1839631267
106	0.1828827105
107	0.1819659333
108	0.1801893522
109	0.1790340336
110	0.17753984
111	0.1755259105
112	0.1739278564
113	0.1727336063
114	0.172039357
115	0.1698058343
116	0.1692253481
117	0.1684870413
118	0.1677440976
119	0.1669497546
120	0.1663619897
121	0.1652066432
122	0.1642300621
123	0.1627352365
124	0.1610749604
125	0.1601609405
126	0.159018274
127	0.158181335
128	0.1574415647
129	0.1560470524
130	0.1551711386
131	0.1543454754
132	0.153928206
133	0.1527920204
134	0.1522025125
135	0.1514278719
136	0.1503758965
137	0.1497523541
138	0.1489751338
139	0.1482047503
140	0.1470334439
141	0.1457735642
142	0.1449625341
143	0.1444660382
144	0.1437517045
145	0.1430962888
146	0.1425373721
147	0.1418535434
148	0.1413959837
149	0.1402258886
150	0.1393444281
151	0.1380903731
152	0.1375692444
153	0.1369021256
154	0.1363838033
155	0.1357029624
156	0.1349462218
157	0.1344423284
